problem_id,condition,group,module_layer,saved_layer_index,mean_cosine,relative_mse,norm_correlation,fresh_tokens,saved_tokens,aligned_tokens,saved_shape,fresh_shape,response_match,fresh_new_tokens
130,direct,G1,0,1,1.0,0.0,1.0,4,4,4,"(4, 1152)","(4, 1152)",True,4
172,direct,G1,0,1,1.0,0.0,1.0,5,5,5,"(5, 1152)","(5, 1152)",True,5
247,direct,G1,0,1,1.0,0.0,1.0,5,5,5,"(5, 1152)","(5, 1152)",True,5
273,direct,G1,0,1,1.0,0.0,1.0,6,6,6,"(6, 1152)","(6, 1152)",True,6
395,direct,G1,0,1,1.0,0.0,0.9999999999999998,5,5,5,"(5, 1152)","(5, 1152)",True,5
0,direct,G2,0,1,1.0,0.0,1.0,3,3,3,"(3, 1152)","(3, 1152)",True,3
7,direct,G2,0,1,1.0,0.0,1.0,3,3,3,"(3, 1152)","(3, 1152)",True,3
116,direct,G2,0,1,1.0,0.0,0.9999999999999999,4,4,4,"(4, 1152)","(4, 1152)",True,4
151,direct,G2,0,1,1.0,0.0,0.9999999999999999,4,4,4,"(4, 1152)","(4, 1152)",True,4
152,direct,G2,0,1,1.0,0.0,1.0,4,4,4,"(4, 1152)","(4, 1152)",True,4
102,cot,G3,0,1,1.0,0.0,1.0,38,38,38,"(38, 1152)","(38, 1152)",True,38
176,cot,G3,0,1,1.0,0.0,1.0,36,36,36,"(36, 1152)","(36, 1152)",True,36
242,cot,G3,0,1,1.0,0.0,1.0,45,45,45,"(45, 1152)","(45, 1152)",True,45
341,cot,G3,0,1,1.0,0.0,1.0,43,43,43,"(43, 1152)","(43, 1152)",True,43
365,cot,G3,0,1,1.0,0.0,0.9999999999999998,48,48,48,"(48, 1152)","(48, 1152)",True,48
42,cot,G4,0,1,1.0,0.0,1.0,28,28,28,"(28, 1152)","(28, 1152)",True,28
114,cot,G4,0,1,1.0,0.0,1.0,26,26,26,"(26, 1152)","(26, 1152)",True,26
117,cot,G4,0,1,1.0,0.0,1.0,30,30,30,"(30, 1152)","(30, 1152)",True,30
127,cot,G4,0,1,1.0,0.0,0.9999999999999998,24,24,24,"(24, 1152)","(24, 1152)",True,24
372,cot,G4,0,1,1.0,0.0,1.0,38,38,38,"(38, 1152)","(38, 1152)",True,38
130,direct,G1,13,14,1.0,0.0,1.0,4,4,4,"(4, 1152)","(4, 1152)",True,4
172,direct,G1,13,14,1.0,0.0,1.0,5,5,5,"(5, 1152)","(5, 1152)",True,5
247,direct,G1,13,14,1.0,0.0,1.0,5,5,5,"(5, 1152)","(5, 1152)",True,5
273,direct,G1,13,14,1.0,0.0,1.0,6,6,6,"(6, 1152)","(6, 1152)",True,6
395,direct,G1,13,14,1.0,0.0,0.9999999999999999,5,5,5,"(5, 1152)","(5, 1152)",True,5
0,direct,G2,13,14,1.0,0.0,1.0,3,3,3,"(3, 1152)","(3, 1152)",True,3
7,direct,G2,13,14,1.0,0.0,1.0,3,3,3,"(3, 1152)","(3, 1152)",True,3
116,direct,G2,13,14,1.0,0.0,1.0,4,4,4,"(4, 1152)","(4, 1152)",True,4
151,direct,G2,13,14,1.0,0.0,0.9999999999999999,4,4,4,"(4, 1152)","(4, 1152)",True,4
152,direct,G2,13,14,1.0,0.0,1.0,4,4,4,"(4, 1152)","(4, 1152)",True,4
102,cot,G3,13,14,1.0,0.0,1.0,38,38,38,"(38, 1152)","(38, 1152)",True,38
176,cot,G3,13,14,1.0,0.0,1.0,36,36,36,"(36, 1152)","(36, 1152)",True,36
242,cot,G3,13,14,1.0,0.0,1.0,45,45,45,"(45, 1152)","(45, 1152)",True,45
341,cot,G3,13,14,1.0,0.0,1.0,43,43,43,"(43, 1152)","(43, 1152)",True,43
365,cot,G3,13,14,1.0,0.0,1.0,48,48,48,"(48, 1152)","(48, 1152)",True,48
42,cot,G4,13,14,1.0,0.0,1.0,28,28,28,"(28, 1152)","(28, 1152)",True,28
114,cot,G4,13,14,1.0,0.0,0.9999999999999998,26,26,26,"(26, 1152)","(26, 1152)",True,26
117,cot,G4,13,14,1.0,0.0,0.9999999999999998,30,30,30,"(30, 1152)","(30, 1152)",True,30
127,cot,G4,13,14,1.0,0.0,1.0,24,24,24,"(24, 1152)","(24, 1152)",True,24
372,cot,G4,13,14,1.0,0.0,1.0,38,38,38,"(38, 1152)","(38, 1152)",True,38
130,direct,G1,24,25,1.0,0.0,1.0,4,4,4,"(4, 1152)","(4, 1152)",True,4
172,direct,G1,24,25,1.0,0.0,0.9999999999999999,5,5,5,"(5, 1152)","(5, 1152)",True,5
247,direct,G1,24,25,1.0,0.0,1.0,5,5,5,"(5, 1152)","(5, 1152)",True,5
273,direct,G1,24,25,1.0,0.0,1.0,6,6,6,"(6, 1152)","(6, 1152)",True,6
395,direct,G1,24,25,1.0,0.0,1.0,5,5,5,"(5, 1152)","(5, 1152)",True,5
0,direct,G2,24,25,1.0,0.0,1.0,3,3,3,"(3, 1152)","(3, 1152)",True,3
7,direct,G2,24,25,0.9999999403953552,0.0,0.9999999999999999,3,3,3,"(3, 1152)","(3, 1152)",True,3
116,direct,G2,24,25,1.0,0.0,1.0,4,4,4,"(4, 1152)","(4, 1152)",True,4
151,direct,G2,24,25,1.0,0.0,1.0,4,4,4,"(4, 1152)","(4, 1152)",True,4
152,direct,G2,24,25,1.0,0.0,0.9999999999999999,4,4,4,"(4, 1152)","(4, 1152)",True,4
102,cot,G3,24,25,1.0,0.0,1.0,38,38,38,"(38, 1152)","(38, 1152)",True,38
176,cot,G3,24,25,1.0,0.0,1.0,36,36,36,"(36, 1152)","(36, 1152)",True,36
242,cot,G3,24,25,1.0,0.0,1.0,45,45,45,"(45, 1152)","(45, 1152)",True,45
341,cot,G3,24,25,1.0,0.0,1.0,43,43,43,"(43, 1152)","(43, 1152)",True,43
365,cot,G3,24,25,1.0,0.0,1.0,48,48,48,"(48, 1152)","(48, 1152)",True,48
42,cot,G4,24,25,1.0,0.0,1.0,28,28,28,"(28, 1152)","(28, 1152)",True,28
114,cot,G4,24,25,1.0,0.0,1.0,26,26,26,"(26, 1152)","(26, 1152)",True,26
117,cot,G4,24,25,1.0,0.0,1.0,30,30,30,"(30, 1152)","(30, 1152)",True,30
127,cot,G4,24,25,1.0,0.0,0.9999999999999998,24,24,24,"(24, 1152)","(24, 1152)",True,24
372,cot,G4,24,25,1.0,0.0,1.0,38,38,38,"(38, 1152)","(38, 1152)",True,38
