Group,Metric,Mean,Std,N
G1,cos_to_running_mean,0.8631163159728571,0.06259526195653542,5725
G2,cos_to_running_mean,0.770220609296043,0.05516867689941616,1325
G3,cos_to_running_mean,0.6669541482646744,0.07573405179674289,1925
G4,cos_to_running_mean,0.6784253127371783,0.07500811123624077,5575
G1,dir_consistency,0.3726489085055556,0.1594729213545795,6175
G2,dir_consistency,0.0819692779796303,0.0562272206641384,1325
G3,dir_consistency,0.029252173993010756,0.0072832359742021685,1925
G4,dir_consistency,0.030888654784604255,0.005991623555716438,5575
G1,effective_dim,3.2104804102510345,2.7750081413392835,5725
G2,effective_dim,7.924620240229481,1.7579520119542769,1325
G3,effective_dim,20.256345183137174,4.849407740962281,1925
G4,effective_dim,19.01233114447829,5.033503902762288,5575
G1,msd_exponent,0.09060817015681381,0.06345441240001702,1125
G2,msd_exponent,0.06328221212369971,0.055886669678093324,1300
G3,msd_exponent,0.137605677641958,0.05622954077804835,1925
G4,msd_exponent,0.1372746853582149,0.05734697088824315,5575
G1,radius_of_gyration,15.590301117974255,19.128466079285438,6175
G2,radius_of_gyration,18.849361640867198,23.750813427126804,1325
G3,radius_of_gyration,22.361147318366285,32.69878956742341,1925
G4,radius_of_gyration,22.033862337563605,31.74602611997309,5575
G1,speed,21.40326213213355,25.50889423319315,6175
G2,speed,24.172024694568705,30.97929684470972,1325
G3,speed,26.231755834430842,38.87071572667392,1925
G4,speed,25.876045060296764,37.56799834494629,5575
G1,stabilization,-3.17275336864813,6.951067266030975,6175
G2,stabilization,0.18191072629201183,1.1656988451517498,1325
G3,stabilization,0.009316628643133078,0.05680989391869139,1925
G4,stabilization,0.016355187469270564,0.07453202317111306,5575
G1,time_to_commit,10.335111111111111,7.068466835775764,1125
G2,time_to_commit,9.586153846153847,6.368063526591078,1300
G3,time_to_commit,39.387532467532466,29.575539325471755,1925
G4,time_to_commit,31.675156950672644,20.394612185042117,5575
G1,tortuosity,0.37429388035141564,0.17100493603837638,6175
G2,tortuosity,0.06702067576489354,0.05652764522585148,1325
G3,tortuosity,0.012800826106655859,0.003855861017298029,1925
G4,tortuosity,0.016678646020674738,0.0036806233381701256,5575
